group	x	y	showSelected1
1	11080	24	31
2	11130	24	31
2	11130	24	455
2	11130	24	196
2	11130	24	512
2	11130	24	614
2	11130	24	453
2	11130	24	479
3	11130	74	31
6	11180	74	31
6	11180	74	212
6	11180	74	170
6	11180	74	26
6	11180	74	2
5	11180	124	212
8	11230	124	212
8	11230	124	26
8	11230	124	13
8	11230	124	11
9	11230	174	11
13	11280	174	11
13	11280	174	235
13	11280	174	628
13	11280	174	635
13	11280	174	59
13	11280	174	276
13	11280	174	230
13	11280	174	283
13	11280	174	120
13	11280	174	406
13	11280	174	662
13	11280	174	526
13	11280	174	43
13	11280	174	644
14	11280	224	11
19	11330	224	11
19	11330	224	90
19	11330	224	36
19	11330	224	133
19	11330	224	564
19	11330	224	72
19	11330	224	197
19	11330	224	22
19	11330	224	198
19	11330	224	240
19	11330	224	270
19	11330	224	248
19	11330	224	300
19	11330	224	570
19	11330	224	543
19	11330	224	222
19	11330	224	217
19	11330	224	389
19	11330	224	712
19	11330	224	647
19	11330	224	395
19	11330	224	99
19	11330	224	175
19	11330	224	660
19	11330	224	310
19	11330	224	598
19	11330	224	272
19	11330	224	214
19	11330	224	48
19	11330	224	540
19	11330	224	504
20	11330	274	22
26	11380	274	22
26	11380	274	430
26	11380	274	88
26	11380	274	172
26	11380	274	409
26	11380	274	14
26	11380	274	401
26	11380	274	191
26	11380	274	182
26	11380	274	97
26	11380	274	524
26	11380	274	72
26	11380	274	179
26	11380	274	715
26	11380	274	188
26	11380	274	515
26	11380	274	193
26	11380	274	611
26	11380	274	548
26	11380	274	95
26	11380	274	329
26	11380	274	503
26	11380	274	653
26	11380	274	432
26	11380	274	200
26	11380	274	300
26	11380	274	701
26	11380	274	618
26	11380	274	288
26	11380	274	30
26	11380	274	505
26	11380	274	592
26	11380	274	686
26	11380	274	164
26	11380	274	110
26	11380	274	415
26	11380	274	424
26	11380	274	658
26	11380	274	209
26	11380	274	64
26	11380	274	654
26	11380	274	369
26	11380	274	215
26	11380	274	426
26	11380	274	66
26	11380	274	434
26	11380	274	303
26	11380	274	246
26	11380	274	713
26	11380	274	391
27	11380	324	14
27	11380	324	659
34	11430	324	14
34	11430	324	305
34	11430	324	610
34	11430	324	23
34	11430	324	163
34	11430	324	442
34	11430	324	659
34	11430	324	346
34	11430	324	678
34	11430	324	263
34	11430	324	108
34	11430	324	236
34	11430	324	607
34	11430	324	411
34	11430	324	353
34	11430	324	27
34	11430	324	123
34	11430	324	567
34	11430	324	672
34	11430	324	53
34	11430	324	496
34	11430	324	176
34	11430	324	545
34	11430	324	495
34	11430	324	417
34	11430	324	624
34	11430	324	563
34	11430	324	521
34	11430	324	673
34	11430	324	634
34	11430	324	466
34	11430	324	414
34	11430	324	702
34	11430	324	580
34	11430	324	94
4	11180	24	31
4	11180	24	212
4	11180	24	2
4	11180	24	616
4	11180	24	538
12	11280	124	11
12	11280	124	13
12	11280	124	635
12	11280	124	397
12	11280	124	26
12	11280	124	43
12	11280	124	439
12	11280	124	40
12	11280	124	322
12	11280	124	148
12	11280	124	297
25	11380	224	22
25	11380	224	430
25	11380	224	72
25	11380	224	300
25	11380	224	604
25	11380	224	387
25	11380	224	543
25	11380	224	133
25	11380	224	553
25	11380	224	80
25	11380	224	214
25	11380	224	637
25	11380	224	377
25	11380	224	88
25	11380	224	578
25	11380	224	492
25	11380	224	110
25	11380	224	318
25	11380	224	158
25	11380	224	118
25	11380	224	34
25	11380	224	116
25	11380	224	36
25	11380	224	269
25	11380	224	552
25	11380	224	488
25	11380	224	316
25	11380	224	364
25	11380	224	566
25	11380	224	685
25	11380	224	540
25	11380	224	282
25	11380	224	76
25	11380	224	600
25	11380	224	372
25	11380	224	601
25	11380	224	312
25	11380	224	30
25	11380	224	582
25	11380	224	209
25	11380	224	666
25	11380	224	183
25	11380	224	587
25	11380	224	612
25	11380	224	535
25	11380	224	682
25	11380	224	246
25	11380	224	373
25	11380	224	583
25	11380	224	608
25	11380	224	87
25	11380	224	4
25	11380	224	591
25	11380	224	171
25	11380	224	250
25	11380	224	155
25	11380	224	613
25	11380	224	109
25	11380	224	365
25	11380	224	491
25	11380	224	105
25	11380	224	519
25	11380	224	86
25	11380	224	456
25	11380	224	421
25	11380	224	711
25	11380	224	186
25	11380	224	199
25	11380	224	697
25	11380	224	234
25	11380	224	646
25	11380	224	223
25	11380	224	347
25	11380	224	698
25	11380	224	588
25	11380	224	695
25	11380	224	539
25	11380	224	178
25	11380	224	77
10	11230	74	212
10	11230	74	26
10	11230	74	170
10	11230	74	13
10	11230	74	2
10	11230	74	317
18	11330	174	11
18	11330	174	222
18	11330	174	518
18	11330	174	93
18	11330	174	230
18	11330	174	36
18	11330	174	294
18	11330	174	590
18	11330	174	272
18	11330	174	549
18	11330	174	102
18	11330	174	719
18	11330	174	644
18	11330	174	625
18	11330	174	43
18	11330	174	106
18	11330	174	399
18	11330	174	25
18	11330	174	133
18	11330	174	202
18	11330	174	127
18	11330	174	70
18	11330	174	661
18	11330	174	125
18	11330	174	688
18	11330	174	284
18	11330	174	233
33	11430	274	14
33	11430	274	715
33	11430	274	46
33	11430	274	236
33	11430	274	123
33	11430	274	200
33	11430	274	686
33	11430	274	27
33	11430	274	633
33	11430	274	517
33	11430	274	417
33	11430	274	592
33	11430	274	53
33	11430	274	344
33	11430	274	104
33	11430	274	642
33	11430	274	330
33	11430	274	655
33	11430	274	467
33	11430	274	673
33	11430	274	88
33	11430	274	428
33	11430	274	9
33	11430	274	675
33	11430	274	226
33	11430	274	606
33	11430	274	396
33	11430	274	469
33	11430	274	560
33	11430	274	350
33	11430	274	231
33	11430	274	465
33	11430	274	708
33	11430	274	572
33	11430	274	363
33	11430	274	460
33	11430	274	4
33	11430	274	544
33	11430	274	622
33	11430	274	94
33	11430	274	278
33	11430	274	246
33	11430	274	513
33	11430	274	605
33	11430	274	190
33	11430	274	30
33	11430	274	138
33	11430	274	160
33	11430	274	380
33	11430	274	189
33	11430	274	260
33	11430	274	569
33	11430	274	667
33	11430	274	304
33	11430	274	68
33	11430	274	275
33	11430	274	136
33	11430	274	689
33	11430	274	351
33	11430	274	42
33	11430	274	431
33	11430	274	433
33	11430	274	251
33	11430	274	485
33	11430	274	167
33	11430	274	457
33	11430	274	687
33	11430	274	468
33	11430	274	131
33	11430	274	326
33	11430	274	405
33	11430	274	201
33	11430	274	441
33	11430	274	437
33	11430	274	349
33	11430	274	651
33	11430	274	487
33	11430	274	50
33	11430	274	328
33	11430	274	529
33	11430	274	213
33	11430	274	239
33	11430	274	458
33	11430	274	481
33	11430	274	38
33	11430	274	520
33	11430	274	386
7	11230	24	2
7	11230	24	212
7	11230	24	538
7	11230	24	26
7	11230	24	296
7	11230	24	407
7	11230	24	341
7	11230	24	13
7	11230	24	448
7	11230	24	632
7	11230	24	132
7	11230	24	332
7	11230	24	101
15	11280	74	26
15	11280	74	13
15	11280	74	148
15	11280	74	514
15	11280	74	297
15	11280	74	40
15	11280	74	510
15	11280	74	423
15	11280	74	32
17	11330	124	11
17	11330	124	43
17	11330	124	106
17	11330	124	40
17	11330	124	322
17	11330	124	259
17	11330	124	148
17	11330	124	15
17	11330	124	602
17	11330	124	370
17	11330	124	284
17	11330	124	297
17	11330	124	599
17	11330	124	32
17	11330	124	568
17	11330	124	537
17	11330	124	16
17	11330	124	268
17	11330	124	122
24	11380	174	133
24	11380	174	36
24	11380	174	591
24	11380	174	11
24	11380	174	70
24	11380	174	141
24	11380	174	87
24	11380	174	223
24	11380	174	325
24	11380	174	347
24	11380	174	4
24	11380	174	233
24	11380	174	459
24	11380	174	302
24	11380	174	207
24	11380	174	227
24	11380	174	652
24	11380	174	340
24	11380	174	77
24	11380	174	367
24	11380	174	419
24	11380	174	493
24	11380	174	96
24	11380	174	151
24	11380	174	371
24	11380	174	638
24	11380	174	89
24	11380	174	703
24	11380	174	117
24	11380	174	714
24	11380	174	58
32	11430	224	30
32	11430	224	246
32	11430	224	595
32	11430	224	4
32	11430	224	573
32	11430	224	286
32	11430	224	92
32	11430	224	447
32	11430	224	441
32	11430	224	711
32	11430	224	646
32	11430	224	326
32	11430	224	44
32	11430	224	619
32	11430	224	50
32	11430	224	266
32	11430	224	392
32	11430	224	178
32	11430	224	444
32	11430	224	123
32	11430	224	105
32	11430	224	77
32	11430	224	477
32	11430	224	594
32	11430	224	107
32	11430	224	262
32	11430	224	707
32	11430	224	446
32	11430	224	224
32	11430	224	376
32	11430	224	147
32	11430	224	615
32	11430	224	313
32	11430	224	360
32	11430	224	533
32	11430	224	159
32	11430	224	60
32	11430	224	152
32	11430	224	576
32	11430	224	629
32	11430	224	471
32	11430	224	281
32	11430	224	211
32	11430	224	8
32	11430	224	650
32	11430	224	309
32	11430	224	696
32	11430	224	511
32	11430	224	115
32	11430	224	1
32	11430	224	623
40	11480	274	42
40	11480	274	136
40	11480	274	123
40	11480	274	335
40	11480	274	131
40	11480	274	626
40	11480	274	167
40	11480	274	51
40	11480	274	669
40	11480	274	651
40	11480	274	38
40	11480	274	149
40	11480	274	394
40	11480	274	62
40	11480	274	239
40	11480	274	386
40	11480	274	645
40	11480	274	586
40	11480	274	579
40	11480	274	381
40	11480	274	216
40	11480	274	258
40	11480	274	382
40	11480	274	5
40	11480	274	676
40	11480	274	10
40	11480	274	345
40	11480	274	342
40	11480	274	162
40	11480	274	55
40	11480	274	264
40	11480	274	306
40	11480	274	184
40	11480	274	390
40	11480	274	486
40	11480	274	121
11	11280	24	26
11	11280	24	13
11	11280	24	274
11	11280	24	134
11	11280	24	32
11	11280	24	429
11	11280	24	144
11	11280	24	366
11	11280	24	418
23	11380	124	11
23	11380	124	106
23	11380	124	15
23	11380	124	96
23	11380	124	82
23	11380	124	638
23	11380	124	499
23	11380	124	32
23	11380	124	238
23	11380	124	122
23	11380	124	58
23	11380	124	174
23	11380	124	677
23	11380	124	206
23	11380	124	145
23	11380	124	156
23	11380	124	73
39	11480	224	123
39	11480	224	38
39	11480	224	5
39	11480	224	4
39	11480	224	615
39	11480	224	342
39	11480	224	663
39	11480	224	536
39	11480	224	584
39	11480	224	368
39	11480	224	404
39	11480	224	356
39	11480	224	385
39	11480	224	184
39	11480	224	333
39	11480	224	187
39	11480	224	147
39	11480	224	220
39	11480	224	280
39	11480	224	413
39	11480	224	462
39	11480	224	55
39	11480	224	383
39	11480	224	129
39	11480	224	585
39	11480	224	115
39	11480	224	128
39	11480	224	720
39	11480	224	256
39	11480	224	334
39	11480	224	98
39	11480	224	623
39	11480	224	157
39	11480	224	121
39	11480	224	541
39	11480	224	311
39	11480	224	21
39	11480	224	556
39	11480	224	482
39	11480	224	3
39	11480	224	169
39	11480	224	463
39	11480	224	497
39	11480	224	1
39	11480	224	245
39	11480	224	425
39	11480	224	35
39	11480	224	648
39	11480	224	114
39	11480	224	451
39	11480	224	81
39	11480	224	393
39	11480	224	718
39	11480	224	277
39	11480	224	18
39	11480	224	253
39	11480	224	596
39	11480	224	143
39	11480	224	523
39	11480	224	6
39	11480	224	255
39	11480	224	617
39	11480	224	410
39	11480	224	298
39	11480	224	257
39	11480	224	490
39	11480	224	422
39	11480	224	271
39	11480	224	440
39	11480	224	547
39	11480	224	554
39	11480	224	435
39	11480	224	694
39	11480	224	33
39	11480	224	301
21	11330	74	148
21	11330	74	40
21	11330	74	32
21	11330	74	13
21	11330	74	537
21	11330	74	15
21	11330	74	423
21	11330	74	122
31	11430	174	77
31	11430	174	4
31	11430	174	151
31	11430	174	267
31	11430	174	371
31	11430	174	232
31	11430	174	629
31	11430	174	534
31	11430	174	8
31	11430	174	557
31	11430	174	89
31	11430	174	472
31	11430	174	309
31	11430	174	161
31	11430	174	1
31	11430	174	476
31	11430	174	177
31	11430	174	714
31	11430	174	115
31	11430	174	640
31	11430	174	501
31	11430	174	58
31	11430	174	716
31	11430	174	11
31	11430	174	57
31	11430	174	243
31	11430	174	244
31	11430	174	489
31	11430	174	343
31	11430	174	299
31	11430	174	28
31	11430	174	20
31	11430	174	279
31	11430	174	12
16	11330	24	13
16	11330	24	32
16	11330	24	289
28	11380	74	122
28	11380	74	32
28	11380	74	145
28	11380	74	156
28	11380	74	699
28	11380	74	73
28	11380	74	174
28	11380	74	13
28	11380	74	150
30	11430	124	11
30	11430	124	58
30	11430	124	206
30	11430	124	85
30	11430	124	8
30	11430	124	57
30	11430	124	82
30	11430	124	631
30	11430	124	28
30	11430	124	174
30	11430	124	29
30	11430	124	279
30	11430	124	290
30	11430	124	692
30	11430	124	83
30	11430	124	285
30	11430	124	71
38	11480	174	115
38	11480	174	1
38	11480	174	177
38	11480	174	706
38	11480	174	691
38	11480	174	355
38	11480	174	454
38	11480	174	299
38	11480	174	114
38	11480	174	194
38	11480	174	81
38	11480	174	20
38	11480	174	6
38	11480	174	54
38	11480	174	28
38	11480	174	129
38	11480	174	130
38	11480	174	21
38	11480	174	12
38	11480	174	403
38	11480	174	287
38	11480	174	470
38	11480	174	79
38	11480	174	679
38	11480	174	249
38	11480	174	554
38	11480	174	315
38	11480	174	379
38	11480	174	551
38	11480	174	502
38	11480	174	61
38	11480	174	412
45	11530	224	3
45	11530	224	648
45	11530	224	374
45	11530	224	18
45	11530	224	277
45	11530	224	33
45	11530	224	436
45	11530	224	143
45	11530	224	435
45	11530	224	710
45	11530	224	21
45	11530	224	301
45	11530	224	683
45	11530	224	146
45	11530	224	361
45	11530	224	528
45	11530	224	49
45	11530	224	203
45	11530	224	273
45	11530	224	218
45	11530	224	225
45	11530	224	69
45	11530	224	609
45	11530	224	649
45	11530	224	112
45	11530	224	684
45	11530	224	208
45	11530	224	558
45	11530	224	324
22	11380	24	13
22	11380	24	32
