x	y	clickSelects	xmin	xmax	ymin	ymax
11080	24	11100,0	11055	11105	-1	49
11130	24	11150,0	11105	11155	-1	49
11130	74	11150,50	11105	11155	49	99
11180	74	11200,50	11155	11205	49	99
11180	124	11200,100	11155	11205	99	149
11230	124	11250,100	11205	11255	99	149
11230	174	11250,150	11205	11255	149	199
11280	174	11300,150	11255	11305	149	199
11280	224	11300,200	11255	11305	199	249
11330	224	11350,200	11305	11355	199	249
11330	274	11350,250	11305	11355	249	299
11380	274	11400,250	11355	11405	249	299
11380	324	11400,300	11355	11405	299	349
11430	324	11450,300	11405	11455	299	349
11180	24	11200,0	11155	11205	-1	49
11280	124	11300,100	11255	11305	99	149
11380	224	11400,200	11355	11405	199	249
11230	74	11250,50	11205	11255	49	99
11330	174	11350,150	11305	11355	149	199
11430	274	11450,250	11405	11455	249	299
11230	24	11250,0	11205	11255	-1	49
11280	74	11300,50	11255	11305	49	99
11330	124	11350,100	11305	11355	99	149
11380	174	11400,150	11355	11405	149	199
11430	224	11450,200	11405	11455	199	249
11480	274	11500,250	11455	11505	249	299
11280	24	11300,0	11255	11305	-1	49
11380	124	11400,100	11355	11405	99	149
11480	224	11500,200	11455	11505	199	249
11330	74	11350,50	11305	11355	49	99
11430	174	11450,150	11405	11455	149	199
11330	24	11350,0	11305	11355	-1	49
11380	74	11400,50	11355	11405	49	99
11430	124	11450,100	11405	11455	99	149
11480	174	11500,150	11455	11505	149	199
11530	224	11550,200	11505	11555	199	249
11380	24	11400,0	11355	11405	-1	49
11480	124	11500,100	11455	11505	99	149
11430	74	11450,50	11405	11455	49	99
11530	174	11550,150	11505	11555	149	199
11430	24	11450,0	11405	11455	-1	49
11480	74	11500,50	11455	11505	49	99
11530	124	11550,100	11505	11555	99	149
11580	174	11600,150	11555	11605	149	199
11480	24	11500,0	11455	11505	-1	49
11580	124	11600,100	11555	11605	99	149
11530	74	11550,50	11505	11555	49	99
11530	24	11550,0	11505	11555	-1	49
11580	74	11600,50	11555	11605	49	99
11630	124	11650,100	11605	11655	99	149
11580	24	11600,0	11555	11605	-1	49
11630	74	11650,50	11605	11655	49	99
11630	24	11650,0	11605	11655	-1	49
11680	74	11700,50	11655	11705	49	99
11680	24	11700,0	11655	11705	-1	49
11730	24	11750,0	11705	11755	-1	49
