xmin	xmax	ymin	ymax	showSelected1	row_in_group	na_group
-44.45	-43.55	-2.80612039460439	0	11150,0	2	1
-43.45	-42.55	-2.09583249446346	0	11150,0	3	1
-42.45	-41.55	-3.12381719347695	0	11150,0	4	1
-41.45	-40.55	-0.109925508355144	0	11150,0	5	1
-40.45	-39.55	-1.32635393597745	0	11150,0	6	1
-39.45	-38.55	-3.13066237165291	0	11150,0	7	1
-38.45	-37.55	-0.535131870344272	0	11150,0	8	1
-37.45	-36.55	-1.1918663176968	0	11150,0	9	1
-36.45	-35.55	-0.477551842158244	0	11150,0	10	1
-31.45	-30.55	-0.0539561103281659	0	11150,0	15	5
-28.45	-27.55	-0.228709482585061	0	11150,0	18	7
-22.45	-21.55	-0.0986510972417959	0	11150,0	24	12
-20.45	-19.55	-0.157439098047111	0	11150,0	26	13
-18.45	-17.55	-0.214616468693376	0	11150,0	28	14
-17.45	-16.55	-1.17777330380511	0	11150,0	29	14
-16.45	-15.55	-0.564928528286692	0	11150,0	30	14
-15.45	-14.55	-0.504529897322327	0	11150,0	31	14
-14.45	-13.55	-2.35393597745118	0	11150,0	32	14
-13.45	-12.55	-0.72357559895309	0	11150,0	33	14
-12.45	-11.55	-0.00281860277833702	0	11150,0	34	14
-11.45	-10.55	-1.39279243003825	0	11150,0	35	14
-10.45	-9.55	-0.628145762029394	0	11150,0	36	14
-9.45	-8.55	-0.629756392188444	0	11150,0	37	14
-8.45	-7.55	-3.32514596335816	0	11150,0	38	14
-5.45	-4.55	-1.61707267968593	0	11150,0	41	16
-4.45	-3.55	-2.12401852224683	0	11150,0	42	16
-3.45	-2.55	-5.05979464465472	0	11150,0	43	16
-2.45	-1.55	-2.68975236561305	0	11150,0	44	16
-1.45	-0.55	-1.87316287497483	0	11150,0	45	16
-0.45	0.45	-0.525065431850211	0	11150,0	46	16
1.55	2.45	-0.8874572176364	0	11150,0	48	17
2.55	3.45	-1.63036037849809	0	11150,0	49	17
3.55	4.45	-1.79142339440306	0	11150,0	50	17
-44.45	-43.55	-2.80612039460439	0	11150,50	51	17
-43.45	-42.55	-2.09583249446346	0	11150,50	52	17
-42.45	-41.55	-3.12381719347695	0	11150,50	53	17
-41.45	-40.55	-0.109925508355144	0	11150,50	54	17
-40.45	-39.55	-1.32635393597745	0	11150,50	55	17
-39.45	-38.55	-3.13066237165291	0	11150,50	56	17
-38.45	-37.55	-0.535131870344272	0	11150,50	57	17
-37.45	-36.55	-1.1918663176968	0	11150,50	58	17
-36.45	-35.55	-0.477551842158244	0	11150,50	59	17
-31.45	-30.55	-0.0539561103281659	0	11150,50	64	21
-28.45	-27.55	-0.228709482585061	0	11150,50	67	23
-22.45	-21.55	-0.0986510972417959	0	11150,50	73	28
-20.45	-19.55	-0.157439098047111	0	11150,50	75	29
-18.45	-17.55	-0.214616468693376	0	11150,50	77	30
-17.45	-16.55	-1.17777330380511	0	11150,50	78	30
-16.45	-15.55	-0.564928528286692	0	11150,50	79	30
-15.45	-14.55	-0.504529897322327	0	11150,50	80	30
-14.45	-13.55	-2.35393597745118	0	11150,50	81	30
-13.45	-12.55	-0.72357559895309	0	11150,50	82	30
-12.45	-11.55	-0.00281860277833702	0	11150,50	83	30
-11.45	-10.55	-1.39279243003825	0	11150,50	84	30
-10.45	-9.55	-0.628145762029394	0	11150,50	85	30
-9.45	-8.55	-0.629756392188444	0	11150,50	86	30
-8.45	-7.55	-3.32514596335816	0	11150,50	87	30
-5.45	-4.55	-1.61707267968593	0	11150,50	90	32
-4.45	-3.55	-2.12401852224683	0	11150,50	91	32
-3.45	-2.55	-5.05979464465472	0	11150,50	92	32
-2.45	-1.55	-2.68975236561305	0	11150,50	93	32
-1.45	-0.55	-1.87316287497483	0	11150,50	94	32
-0.45	0.45	-0.525065431850211	0	11150,50	95	32
1.55	2.45	-0.8874572176364	0	11150,50	97	33
2.55	3.45	-1.63036037849809	0	11150,50	98	33
3.55	4.45	-1.79142339440306	0	11150,50	99	33
-45.45	-44.55	-1.05939198711496	0	11200,50	100	33
-44.45	-43.55	-3.05093617877995	0	11200,50	101	33
-43.45	-42.55	-2.82464264143346	0	11200,50	102	33
-42.45	-41.55	-3.38111536138514	0	11200,50	103	33
