group	label	showSelected1
1	Cluster 1: 5/1023 pixels shown, logFC -4.3 to 2.7, log10(p) 0.0 to 3.1	1
1	Cluster 3: 79/257 pixels shown, logFC -3.8 to 3.6, log10(p) 0.0 to 1.5	3
1	Cluster 4: 1481/5757 pixels shown, logFC -4.4 to 3.9, log10(p) 0.0 to 4.1	4
1	Cluster 5: 406/600 pixels shown, logFC -3.8 to 3.9, log10(p) 0.0 to 2.5	5
1	Cluster 6: 67/2212 pixels shown, logFC -4.0 to 3.6, log10(p) 0.0 to 2.6	6
1	Cluster 18: 8/358 pixels shown, logFC -3.8 to 4.1, log10(p) 0.0 to 2.1	18
1	Cluster 21: 685/2237 pixels shown, logFC -4.0 to 4.5, log10(p) 0.0 to 3.0	21
1	Cluster 33: 8/239 pixels shown, logFC -4.0 to 2.7, log10(p) 0.0 to 2.2	33
1	Cluster 35: 65/65 pixels shown, logFC -2.6 to 4.1, log10(p) 0.0 to 2.0	35
1	Cluster 38: 4/415 pixels shown, logFC -4.0 to 3.6, log10(p) 0.0 to 2.2	38
1	Cluster 55: 200/433 pixels shown, logFC -4.6 to 3.6, log10(p) 0.0 to 2.6	55
1	Cluster 81: 33/52 pixels shown, logFC -1.2 to 2.7, log10(p) 0.0 to 1.8	81
1	Cluster 98: 101/101 pixels shown, logFC -2.6 to 3.6, log10(p) 0.0 to 1.4	98
1	Cluster 114: 34/153 pixels shown, logFC -4.0 to 2.8, log10(p) 0.0 to 1.9	114
1	Cluster 115: 368/521 pixels shown, logFC -3.1 to 4.1, log10(p) 0.0 to 2.3	115
1	Cluster 121: 17/18 pixels shown, logFC 0.1 to 3.9, log10(p) 0.0 to 2.5	121
1	Cluster 123: 189/1484 pixels shown, logFC -4.4 to 3.2, log10(p) 0.0 to 2.5	123
1	Cluster 128: 17/17 pixels shown, logFC -2.6 to 0.1, log10(p) 0.0 to 1.3	128
1	Cluster 129: 333/357 pixels shown, logFC -3.1 to 3.9, log10(p) 0.0 to 2.0	129
1	Cluster 143: 136/183 pixels shown, logFC -1.8 to 4.1, log10(p) 0.0 to 2.9	143
1	Cluster 147: 3/183 pixels shown, logFC -1.6 to 4.3, log10(p) 0.0 to 2.2	147
1	Cluster 157: 27/27 pixels shown, logFC -3.1 to 0.4, log10(p) 0.0 to 1.3	157
1	Cluster 169: 55/55 pixels shown, logFC -2.6 to 0.3, log10(p) 0.0 to 1.5	169
1	Cluster 184: 15/22 pixels shown, logFC -3.5 to 0.1, log10(p) 0.0 to 1.3	184
1	Cluster 187: 28/28 pixels shown, logFC -3.8 to 1.4, log10(p) 0.1 to 1.6	187
1	Cluster 220: 35/35 pixels shown, logFC -0.8 to 3.2, log10(p) 0.0 to 1.1	220
1	Cluster 245: 15/15 pixels shown, logFC -3.1 to -1.2, log10(p) 0.4 to 1.0	245
1	Cluster 253: 22/22 pixels shown, logFC -4.3 to 0.1, log10(p) 0.0 to 2.1	253
1	Cluster 255: 14/14 pixels shown, logFC -4.0 to 0.9, log10(p) 0.2 to 1.8	255
1	Cluster 256: 6/6 pixels shown, logFC 2.0 to 3.6, log10(p) 0.5 to 1.3	256
1	Cluster 257: 8/8 pixels shown, logFC -2.6 to -0.7, log10(p) 0.2 to 0.8	257
1	Cluster 271: 16/16 pixels shown, logFC -3.8 to -0.4, log10(p) 0.1 to 1.6	271
1	Cluster 277: 37/54 pixels shown, logFC -3.5 to 1.0, log10(p) 0.0 to 1.4	277
1	Cluster 280: 14/14 pixels shown, logFC -1.6 to 0.6, log10(p) 0.1 to 0.6	280
1	Cluster 298: 9/9 pixels shown, logFC 1.2 to 3.2, log10(p) 0.5 to 1.1	298
1	Cluster 301: 5/26 pixels shown, logFC -3.1 to 2.0, log10(p) 0.0 to 1.0	301
1	Cluster 311: 18/18 pixels shown, logFC -4.6 to -0.7, log10(p) 0.2 to 2.5	311
1	Cluster 333: 2/2 pixels shown, logFC 2.7 to 3.2, log10(p) 0.8 to 1.1	333
1	Cluster 334: 10/10 pixels shown, logFC 2.0 to 2.7, log10(p) 0.5 to 0.9	334
1	Cluster 342: 23/26 pixels shown, logFC -3.1 to 0.1, log10(p) 0.0 to 1.6	342
1	Cluster 356: 7/7 pixels shown, logFC -3.5 to -0.8, log10(p) 0.3 to 1.3	356
1	Cluster 368: 5/5 pixels shown, logFC -3.1 to -1.8, log10(p) 0.5 to 1.4	368
1	Cluster 383: 13/13 pixels shown, logFC 0.4 to 1.8, log10(p) 0.2 to 1.8	383
1	Cluster 385: 3/3 pixels shown, logFC 1.4 to 3.9, log10(p) 1.1 to 1.7	385
1	Cluster 393: 14/14 pixels shown, logFC -3.5 to 0.8, log10(p) 0.1 to 1.3	393
1	Cluster 404: 6/6 pixels shown, logFC -2.6 to -1.8, log10(p) 0.4 to 0.8	404
1	Cluster 410: 5/5 pixels shown, logFC 0.9 to 3.6, log10(p) 0.3 to 1.4	410
1	Cluster 413: 24/24 pixels shown, logFC -3.8 to 0.1, log10(p) 0.0 to 1.6	413
1	Cluster 422: 21/21 pixels shown, logFC -2.4 to 0.7, log10(p) 0.1 to 1.3	422
1	Cluster 425: 5/5 pixels shown, logFC -3.1 to -2.6, log10(p) 0.7 to 1.0	425
1	Cluster 435: 3/5 pixels shown, logFC -2.6 to -0.4, log10(p) 0.1 to 1.0	435
1	Cluster 440: 12/12 pixels shown, logFC 0.4 to 2.7, log10(p) 0.1 to 1.6	440
1	Cluster 451: 1/1 pixels shown, logFC 4.3 to 4.3, log10(p) 2.2 to 2.2	451
1	Cluster 462: 3/3 pixels shown, logFC 3.2 to 3.6, log10(p) 1.1 to 1.4	462
1	Cluster 463: 4/4 pixels shown, logFC 2.0 to 3.2, log10(p) 0.5 to 1.1	463
1	Cluster 482: 15/15 pixels shown, logFC 0.1 to 2.7, log10(p) 0.0 to 1.1	482
1	Cluster 490: 1/1 pixels shown, logFC 3.9 to 3.9, log10(p) 1.7 to 1.7	490
1	Cluster 497: 28/28 pixels shown, logFC -0.4 to 3.9, log10(p) 0.0 to 1.7	497
1	Cluster 523: 3/3 pixels shown, logFC -3.8 to -1.1, log10(p) 0.4 to 1.6	523
1	Cluster 536: 9/9 pixels shown, logFC 0.1 to 2.7, log10(p) 0.0 to 0.9	536
1	Cluster 541: 4/4 pixels shown, logFC 1.0 to 3.2, log10(p) 0.4 to 1.1	541
1	Cluster 547: 1/1 pixels shown, logFC 3.6 to 3.6, log10(p) 1.4 to 1.4	547
1	Cluster 554: 75/76 pixels shown, logFC -3.1 to 2.0, log10(p) 0.0 to 1.5	554
1	Cluster 556: 4/4 pixels shown, logFC 2.0 to 2.7, log10(p) 0.5 to 0.9	556
1	Cluster 584: 3/3 pixels shown, logFC 2.0 to 2.7, log10(p) 0.5 to 0.9	584
1	Cluster 585: 3/3 pixels shown, logFC 2.0 to 2.7, log10(p) 0.5 to 0.9	585
1	Cluster 596: 18/18 pixels shown, logFC -2.2 to -0.1, log10(p) 0.1 to 1.3	596
1	Cluster 615: 1/2 pixels shown, logFC -4.3 to -2.7, log10(p) 1.7 to 2.1	615
1	Cluster 617: 6/6 pixels shown, logFC 1.5 to 4.1, log10(p) 0.8 to 1.9	617
1	Cluster 623: 4/10 pixels shown, logFC 0.1 to 3.9, log10(p) 0.0 to 1.7	623
1	Cluster 648: 33/52 pixels shown, logFC -3.8 to 0.6, log10(p) 0.0 to 1.6	648
1	Cluster 663: 5/5 pixels shown, logFC 0.4 to 1.9, log10(p) 0.2 to 1.1	663
1	Cluster 694: 15/15 pixels shown, logFC -3.1 to -0.7, log10(p) 0.2 to 1.0	694
1	Cluster 718: 6/6 pixels shown, logFC -3.5 to -1.6, log10(p) 0.6 to 1.2	718
1	Cluster 720: 1/1 pixels shown, logFC -4.6 to -4.6, log10(p) 2.6 to 2.6	720
